"","X","POSname","NEGname","CommonName","Trtmt","Day","Cmpd","Class","ContainsN","PeakArea"
"199",199,"17S_POS.mzML","17S_NEG.mzML","Bulk_N_soil","N",0,"phenylalanine","AA","Y",925714.33
"200",200,"39S_POS.mzML","39S_NEG.mzML","Bulk_N_soil","N",0,"phenylalanine","AA","Y",722107.4
"201",201,"59S_POS.mzML","59S_NEG.mzML","Bulk_N_soil","N",0,"phenylalanine","AA","Y",710033.78
"202",202,"11S_POS.mzML","11S_NEG.mzML","Root_N_1day","N",1,"phenylalanine","AA","Y",996146.15
"203",203,"31S_POS.mzML","31S_NEG.mzML","Root_N_1day","N",1,"phenylalanine","AA","Y",1144140.06
"204",204,"51S_POS.mzML","51S_NEG.mzML","Root_N_1day","N",1,"phenylalanine","AA","Y",1123896.69
"205",205,"13S_POS.mzML","13S_NEG.mzML","Root_N_2day","N",2,"phenylalanine","AA","Y",1015085.99
"206",206,"33S_POS.mzML","33S_NEG.mzML","Root_N_2day","N",2,"phenylalanine","AA","Y",956039.07
"207",207,"53S_POS.mzML","53S_NEG.mzML","Root_N_2day","N",2,"phenylalanine","AA","Y",1548606.64
"208",208,"19S_POS.mzML","19S_NEG.mzML","Root_N_3.5day","N",3.5,"phenylalanine","AA","Y",1121831.26
"209",209,"35S_POS.mzML","35S_NEG.mzML","Root_N_3.5day","N",3.5,"phenylalanine","AA","Y",1743435.75
"210",210,"55S_POS.mzML","55S_NEG.mzML","Root_N_3.5day","N",3.5,"phenylalanine","AA","Y",1107719.74
"211",211,"15S_POS.mzML","15S_NEG.mzML","Root_N_5.5day","N",5.5,"phenylalanine","AA","Y",1322750.7
"212",212,"37S_POS.mzML","37S_NEG.mzML","Root_N_5.5day","N",5.5,"phenylalanine","AA","Y",1209544.59
"213",213,"57S_POS.mzML","57S_NEG.mzML","Root_N_5.5day","N",5.5,"phenylalanine","AA","Y",867464.05
"214",214,"67S_POS.mzML","67S_NEG.mzML","Root_N_7.5day","N",7.5,"phenylalanine","AA","Y",973583.93
"215",215,"69S_POS.mzML","69S_NEG.mzML","Root_N_7.5day","N",7.5,"phenylalanine","AA","Y",1037155.1
"216",216,"81S_POSre.mzML","81S_NEGre.mzML","Root_N_7.5day","N",7.5,"phenylalanine","AA","Y",313814.16
"217",217,"29S_POS.mzML","29S_NEG.mzML","Bulk_soil","X",0,"proline","AA","Y",325145.68
"218",218,"49S_POS.mzML","49S_NEG.mzML","Bulk_soil","X",0,"proline","AA","Y",303528.96
